draft_label,target_parameters,draft_parameters,cache,warmup_runs,prompt,prompt_tokens,max_new_tokens,temperature,top_p,top_k,seed,draft_length,baseline_generated_tokens,baseline_tokens_per_second,baseline_time_to_first_token,spec_generated_tokens,spec_tokens_per_second,spec_time_to_first_token,speedup,acceptance_rate,accepted_per_block,blocks,target_forward_passes,draft_forward_passes,target_seconds,draft_seconds
nano-distill-3000,122710784,16619136,True,1,"Bonjour, je suis",4,64,0.5,0.95,20,0,2,64,45.20681764836329,0.019987083999999822,64,30.428531788277077,0.057504917000000155,0.6730960808823653,0.20652173913043478,0.41304347826086957,46,47,138,0.9782757509999955,0.7910314550000024
nano-distill-3000,122710784,16619136,True,1,"Bonjour, je suis",4,64,0.5,0.95,20,0,4,64,45.20681764836329,0.019987083999999822,64,30.90977737836551,0.09898275000000023,0.6837415015317849,0.19444444444444445,0.7567567567567568,37,38,181,0.8914414570000018,0.8288545069999937
nano-distill-3000,122710784,16619136,True,1,"Bonjour, je suis",4,64,0.5,0.95,20,1,2,64,64.4787520256831,0.015832833000001045,64,41.72708174899871,0.06144512499999877,0.6471446862429662,0.2839506172839506,0.5609756097560976,41,42,122,0.7286452939999997,0.550932413
nano-distill-3000,122710784,16619136,True,1,"Bonjour, je suis",4,64,0.5,0.95,20,1,4,64,64.4787520256831,0.015832833000001045,64,25.38250324886026,0.07273750000000057,0.3936568629422284,0.07614213197969544,0.3,50,51,247,0.9702765830000075,1.1150548690000086
nano-distill-3000,122710784,16619136,True,1,"Bonjour, je suis",4,64,0.5,0.95,20,2,2,64,64.20325949415097,0.01554549999999999,64,52.67419085165166,0.06406287500000118,0.8204286085576445,0.4626865671641791,0.9117647058823529,34,35,101,0.5479153340000096,0.4604936689999857
nano-distill-3000,122710784,16619136,True,1,"Bonjour, je suis",4,64,0.5,0.95,20,2,4,64,64.20325949415097,0.01554549999999999,64,31.736616502575515,0.07480641700000135,0.4943147240907103,0.13333333333333333,0.5238095238095238,42,43,207,0.7142509189999782,0.93466734500001
nano-distill-3000,122710784,16619136,True,1,La capitale de la France est,6,64,0.5,0.95,20,0,2,64,50.66926141632035,0.15512350000000197,26,40.18336236998566,0.24568470799999886,0.7930520644424228,0.5833333333333334,1.1666666666666667,12,13,36,0.21968804399999087,0.34213199899999935
nano-distill-3000,122710784,16619136,True,1,La capitale de la France est,6,64,0.5,0.95,20,0,4,64,50.66926141632035,0.15512350000000197,64,27.293466329425094,0.084685541999999,0.5386592495432346,0.10674157303370786,0.4222222222222222,45,46,223,0.9226235409999894,1.030303961000019
nano-distill-3000,122710784,16619136,True,1,La capitale de la France est,6,64,0.5,0.95,20,1,2,64,60.622256680081364,0.020757709000001512,64,39.32362746331421,0.0596335830000001,0.6486665066072138,0.26506024096385544,0.5238095238095238,42,43,125,0.8039295849999988,0.5701550430000069
nano-distill-3000,122710784,16619136,True,1,La capitale de la France est,6,64,0.5,0.95,20,1,4,64,60.622256680081364,0.020757709000001512,25,37.71472880847108,0.08020912499999966,0.6221267711543803,0.23076923076923078,0.9230769230769231,13,14,65,0.23833099800001278,0.29942728799997553
nano-distill-3000,122710784,16619136,True,1,La capitale de la France est,6,64,0.5,0.95,20,2,2,64,64.08073371438834,0.019697292000000033,64,45.22170959912855,0.06223695799999973,0.7056989984023031,0.34210526315789475,0.6842105263157895,38,39,114,0.6328787529999929,0.5304537509999641
nano-distill-3000,122710784,16619136,True,1,La capitale de la France est,6,64,0.5,0.95,20,2,4,64,64.08073371438834,0.019697292000000033,64,35.27793858132833,0.07783016699999834,0.5505233248196596,0.2222222222222222,0.8571428571428571,35,36,170,0.7231462470000061,0.7812207490000063
nano-distill-3000,122710784,16619136,True,1,Explique pourquoi le ciel est bleu :,8,64,0.5,0.95,20,0,2,64,56.665262578194216,0.13228670799999875,64,37.01322725046294,0.2513249999999978,0.6531907833196254,0.26506024096385544,0.5238095238095238,42,43,125,0.6999303780000012,0.7659503730000381
nano-distill-3000,122710784,16619136,True,1,Explique pourquoi le ciel est bleu :,8,64,0.5,0.95,20,0,4,64,56.665262578194216,0.13228670799999875,64,26.7694278076633,0.09887062500000354,0.4724133726676605,0.07894736842105263,0.30612244897959184,49,50,239,0.8618153350000171,1.105764663999956
nano-distill-3000,122710784,16619136,True,1,Explique pourquoi le ciel est bleu :,8,64,0.5,0.95,20,1,2,64,64.11802795291169,0.02020995800000236,64,39.45341709398984,0.0623574999999974,0.6153248681161007,0.2441860465116279,0.4883720930232558,43,44,129,0.7163293779999833,0.6238953719999429
nano-distill-3000,122710784,16619136,True,1,Explique pourquoi le ciel est bleu :,8,64,0.5,0.95,20,1,4,64,64.11802795291169,0.02020995800000236,64,34.37330944746391,0.08034362499999759,0.536094302100303,0.17333333333333334,0.6842105263157895,38,39,188,0.6611622530000218,0.8617823320000255
nano-distill-3000,122710784,16619136,True,1,Explique pourquoi le ciel est bleu :,8,64,0.5,0.95,20,2,2,64,63.80913621744802,0.02015645800000243,64,40.90774171482386,0.06092354199999761,0.6410953687794635,0.22727272727272727,0.45454545454545453,44,45,132,0.6981310399999998,0.6037795870000409
nano-distill-3000,122710784,16619136,True,1,Explique pourquoi le ciel est bleu :,8,64,0.5,0.95,20,2,4,64,63.80913621744802,0.02015645800000243,64,28.811536495035096,0.07804908399999988,0.4515268220659105,0.1,0.391304347826087,46,47,226,0.7849667100000062,1.0391528320000418
